-VcfnuYRhMU,490,360,2377375.000,2400664.933,2384913.177,2384972.840,0.376,0.242884250474,layup failure,train
-XPEvIMe05A,490,360,1020386.033,1055254.200,1050422.765,1051247.263,0.582666666667,0.288425047438,layup success,test
8Kg9jj9hzGQ,490,360,1227993.433,1273505.566,-1,1261500.152,-1,-1,steal success,train
8Kg9jj9hzGQ,490,360,1227993.433,1273505.566,1254131.452,1255201.545,0.698666666667,0.445920303605,other 2-pointer failure,train
8Kg9jj9hzGQ,490,360,1227993.433,1273505.566,1241897.745,1243128.008,0.548,0.352941176471,other 2-pointer failure,train
8Kg9jj9hzGQ,490,360,1227993.433,1273505.566,1267904.960,1268290.824,0.592,0.328273244782,layup success,train
AALM9_RgV6c,490,360,2768799.367,2806970.834,2781774.014,2783218.633,0.322666666667,0.371916508539,other 2-pointer failure,val
AALM9_RgV6c,490,360,2768799.367,2806970.834,282662.668,2805849.614,0.622666666667,0.134724857685,3-pointer success,val
EWewYijB7h8,490,360,3939802.533,3961057.100,3958913.157,3959073.469,0.425333333333,0.222011385199,layup failure,train
EWewYijB7h8,490,360,3939802.533,3961057.100,-1,3954885.885,-1,-1,steal success,train
KxK9H8w4wWk,490,360,3258255.000,3293323.367,3287213.406,3288884.098,0.541333333333,0.261859582543,other 2-pointer success,train
KxK9H8w4wWk,490,360,3258255.000,3293323.367,3269990.421,3271495.921,0.324,0.290322580645,other 2-pointer failure,train
LxiVvBYlutY,490,360,2299964.333,2333798.133,-1,2331581.653,-1,-1,steal success,train
LxiVvBYlutY,490,360,2299964.333,2333798.133,2300967.310,2302668.978,0.682666666667,0.432637571157,free-throw success,train
N_bE2ep-CMo,490,360,2817815.000,2843040.200,2829836.361,2830962.477,0.450666666667,0.339658444023,other 2-pointer success,train
a0i1YqwsnMs,490,360,2354018.333,2378309.266,-1,2371758.371,-1,-1,steal success,test
a0i1YqwsnMs,490,360,2354018.333,2378309.266,2354061.649,2355304.235,0.456,0.125237191651,other 2-pointer success,test
hCpiwFmKlDs,490,360,960960.000,983782.800,979734.743,981005.526,0.452,0.510436432638,3-pointer failure,train
nrZTpOdHzyE,490,360,750750.000,772772.000,766782.079,767901.328,0.426666666667,0.189753320683,3-pointer failure,train
pLWjvrMmirI,490,360,3459956.500,3506469.633,3491122.897,3492438.167,0.288,0.510436432638,3-pointer failure,train
pLWjvrMmirI,490,360,3459956.500,3506469.633,3499125.388,3499370.679,0.558666666667,0.392789373814,layup failure,train
pLWjvrMmirI,490,360,3459956.500,3506469.633,3480168.779,3481253.501,0.338666666667,0.400379506641,other 2-pointer success,train
pspGjapoLaI,490,360,2441105.333,2471869.400,2468292.662,2469374.162,0.548,0.343453510436,other 2-pointer success,train
s2Hln-wmxBE,490,360,2389987.600,2412476.733,-1,2404629.715,-1,-1,steal success,train
